X (RT/min),Y (Intensity)
20.51,134659.52563121598
20.52,122417.75057383286
20.53,110175.97551644975
20.54,97934.20045906665
20.55,73450.65034430043
20.56,48967.100229532436
20.57,36725.32517214933
20.58,36725.32517214933
20.59,24483.550114766218
20.61,24483.550114766218
20.62,12241.775057383109
20.63,24483.550114766218
20.64,24483.550114766218
20.65,48967.100229532436
20.66,97934.20045906665
20.67,183626.62586075018
20.68,281560.8263198168
20.7,330527.9265493493
20.71,330527.9265493493
20.72,330527.9265493493
20.73,330527.9265493493
20.74,832440.7039020656
20.75,1909716.9089517987
20.76,2570772.7620504973
20.77,2656465.187452181
20.79,2668706.9625095637
20.8,2668706.9625095637
20.81,2668706.9625095637
20.82,2668706.9625095637
20.83,2656465.187452181
20.84,2631981.6373374145
20.85,2179035.9602142307
20.86,1285386.3810252496
20.88,648814.0780413154
20.89,342769.7016067324
20.9,134659.52563121598
20.91,61208.87528691732
20.92,24483.550114766218
20.93,24483.550114766218
20.94,24483.550114766218
20.95,24483.550114766218
20.97,36725.32517214933
20.98,48967.100229532436
20.99,48967.100229532436
21.0,61208.87528691732
21.01,85692.42540168353
21.02,85692.42540168353
21.03,85692.42540168353
21.04,85692.42540168353
21.05,85692.42540168353
21.07,85692.42540168353
21.08,73450.65034430043
21.09,61208.87528691732
21.1,36725.32517214933
21.11,36725.32517214933
21.12,24483.550114766218
21.13,24483.550114766218
21.14,24483.550114766218
21.16,24483.550114766218
21.17,24483.550114766218
21.18,24483.550114766218
21.19,24483.550114766218
21.2,24483.550114766218
21.21,24483.550114766218
21.22,24483.550114766218
21.23,24483.550114766218
21.25,24483.550114766218
21.26,36725.32517214933
21.27,36725.32517214933
21.28,24483.550114766218
21.29,24483.550114766218
21.3,24483.550114766218
21.31,24483.550114766218
21.32,24483.550114766218
21.34,24483.550114766218
21.35,24483.550114766218
21.36,24483.550114766218
21.37,36725.32517214933
21.38,134659.52563121598
21.39,881407.8041315998
21.4,1995409.3343534805
21.41,2019892.8844682483
21.43,2019892.8844682483
21.44,2032134.6595256315
21.45,2019892.8844682483
21.46,2019892.8844682483
21.47,2019892.8844682483
21.48,1995409.3343534805
21.49,1872991.5837796475
21.5,746748.2785003821
21.52,244835.50114766572
21.53,61208.87528691732
21.54,61208.87528691732
21.55,97934.20045906665
21.56,232593.7260902826
21.57,514154.5524100994
21.58,1150726.8553940319
21.59,1309869.9311400156
21.6,1322111.7061973987
21.62,1322111.7061973987
21.63,1322111.7061973987
21.64,1322111.7061973987
21.65,1322111.7061973987
21.66,1309869.9311400156
21.67,1297628.1560826325
21.68,1040550.879877582
21.69,514154.5524100994
21.71,159143.07574598395
21.72,73450.65034430043
21.73,48967.100229532436
21.74,36725.32517214933
21.75,24483.550114766218
21.76,24483.550114766218
21.77,12241.775057383109
21.78,12241.775057383109
21.8,12241.775057383109
21.81,24483.550114766218
21.82,24483.550114766218
21.83,24483.550114766218
21.84,24483.550114766218
21.85,24483.550114766218
21.86,24483.550114766218
21.87,24483.550114766218
21.89,24483.550114766218
21.9,24483.550114766218
21.91,24483.550114766218
21.92,24483.550114766218
21.93,24483.550114766218
21.94,24483.550114766218
21.95,24483.550114766218
21.96,24483.550114766218
21.98,24483.550114766218
21.99,24483.550114766218
